date,vxn,vix,sp,nasdaq,dow,splag,nasdaqlag,dowlag
2001.1.23,58.56999969,21.56999969,0.012947319,0.029468214,0.006742928,,,
2001.1.24,60.65999985,22.03000069,0.00286272,0.006583015,-0.000266692,0.012947319,0.029468214,0.006742928
2001.1.25,63.47999954,22.63999939,-0.004989366,-0.037368268,0.007723459,0.00286272,0.006583015,-0.000266692
2001.1.26,62.45999908,22.56999969,-0.001887629,0.009762386,-0.006502191,-0.004989366,-0.037368268,0.007723459
2001.1.29,62.40000153,22.61000061,0.0067817,0.020300943,0.003951847,-0.001887629,0.009762386,-0.006502191
2001.1.30,62.5,22.56999969,0.006983436,3.53E-06,0.016588114,0.0067817,0.020300943,0.003951847
2001.1.31,61.45000076,22.02000046,-0.005635565,-0.023390544,0.000565968,0.006983436,3.53E-06,0.016588114
2001.2.1,60.49000168,21.65999985,0.005446274,0.003621648,0.008803456,-0.005635565,-0.023390544,0.000565968
2001.2.2,63.75,21.95000076,-0.017628462,-0.044939961,-0.010942232,0.005446274,0.003621648,0.008803456
2001.2.5,62.93000031,22.19000053,0.003580242,-0.006520002,0.009322123,-0.017628462,-0.044939961,-0.010942232
2001.2.6,60.70000076,21.97999954,-0.001514869,0.008018593,-0.000769017,0.003580242,-0.006520002,0.009322123
2001.2.7,62,21.67000008,-0.008443691,-0.021498017,-0.000977002,-0.001514869,0.008018593,-0.000769017
2001.2.8,62.90999985,21.45999908,-0.006254171,-0.017703004,-0.006063069,-0.008443691,-0.021498017,-0.000977002
2001.2.9,65.20999908,22.03000069,-0.013425266,-0.036200871,-0.009149691,-0.006254171,-0.017703004,-0.006063069
2001.2.12,64.26999664,21.92000008,0.011757895,0.007535345,0.01521731,-0.013425266,-0.036200871,-0.009149691
2001.2.13,66.36000061,21.37000084,-0.008689773,-0.025193586,-0.003977034,0.011757895,0.007535345,0.01521731
2001.2.14,65.83000183,21.52000046,-0.002186195,0.025892229,-0.0099463,-0.008689773,-0.025193586,-0.003977034
2001.2.15,63.54999924,20.27000046,0.008090731,0.024389088,0.008817495,-0.002186195,0.025892229,-0.0099463
2001.2.16,64.41000366,22.12000084,-0.019086287,-0.051245686,-0.008409057,0.008090731,0.024389088,0.008817495
2001.2.20,67.59999847,24.69000053,-0.017508954,-0.045132397,-0.006403941,-0.019086287,-0.051245686,-0.008409057
2001.2.21,68.56999969,25.75,-0.01868086,-0.021543032,-0.019222061,-0.017508954,-0.045132397,-0.006403941
2001.2.22,71.83000183,26.76000023,-0.001953737,-0.01062505,2.18E-05,-0.01868086,-0.021543032,-0.019222061
2001.2.23,72.04000092,27.20999908,-0.005570925,0.007787135,-0.0080987,-0.001953737,-0.01062505,2.18E-05
2001.2.26,70.91000366,25.43000031,0.017338769,0.020123142,0.019031668,-0.005570925,0.007787135,-0.0080987
2001.2.27,73.44999695,26.48999977,-0.007689396,-0.044592329,-0.000531066,0.017338769,0.020123142,0.019031668
2001.2.28,75.56999969,28.35000038,-0.014412472,-0.025686955,-0.013401538,-0.007689396,-0.044592329,-0.000531066
2001.3.1,74.80999756,28.07999992,0.001039864,0.014550929,-0.004310317,-0.014412472,-0.025686955,-0.013401538
2001.3.2,77.43000031,27.43000031,-0.005695982,-0.030572125,0.001546144,0.001039864,0.014550929,-0.004310317
2001.3.5,72.79000092,27.12000084,0.005841032,0.011871865,0.009129553,-0.005695982,-0.030572125,0.001546144
2001.3.6,69.02999878,25.88999939,0.009931121,0.028299593,0.002734291,0.005841032,0.011871865,0.009129553
2001.3.7,67.31999969,24.12000084,0.00643163,0.008802428,0.012980911,0.009931121,0.028299593,0.002734291
2001.3.8,67.62999725,24.29000092,0.002255951,-0.025129636,0.011918919,0.00643163,0.008802428,0.012980911
2001.3.9,70.69999695,25.62000084,-0.025075725,-0.054946747,-0.019870549,0.002255951,-0.025129636,0.011918919
2001.3.12,76.25,30.31999969,-0.044140783,-0.065110929,-0.041858394,-0.025075725,-0.054946747,-0.019870549
2001.3.13,72.66999817,27.54999924,0.01471963,0.046425965,0.008054056,-0.044140783,-0.065110929,-0.041858394
2001.3.14,73.61000061,29.61000061,-0.026181893,-0.021416146,-0.031322712,0.01471963,0.046425965,0.008054056
2001.3.15,75.93000031,28.55999947,0.005854126,-0.016040011,0.005780677,-0.026181893,-0.021416146,-0.031322712
